,ZIP,CBSA,Unnamed: 0,city,state,res_ratio,bus_ratio,oth_ratio,tot_ratio
888,79019,11100,,,,,,,
889,79036,11100,,,,,,,
890,79102,11100,,,,,,,
891,79116,11100,,,,,,,
892,79117,11100,,,,,,,
893,79105,11100,,,,,,,
894,79226,11100,,,,,,,
895,79094,11100,,,,,,,
896,79109,11100,,,,,,,
897,79015,11100,,,,,,,
898,79012,11100,,,,,,,
899,79107,11100,,,,,,,
900,79118,11100,,,,,,,
901,79001,11100,,,,,,,
902,31709,11140,,,,,,,
903,31787,11140,,,,,,,
904,31743,11140,,,,,,,
905,31081,11140,,,,,,,
906,31068,11140,,,,,,,
907,31803,11140,,,,,,,
908,31058,11140,,,,,,,
909,31780,11140,,,,,,,
910,31806,11140,,,,,,,
911,31719,11140,,,,,,,
912,31764,11140,,,,,,,
913,31711,11140,,,,,,,
914,31735,11140,,,,,,,
915,50206,11180,,,,,,,
916,50064,11180,,,,,,,
917,50212,11180,,,,,,,
918,50226,11180,,,,,,,
919,50134,11180,,,,,,,
920,50046,11180,,,,,,,
921,50031,11180,,,,,,,
922,50040,11180,,,,,,,
